N,P,K,temperature,humidity,ph,rainfall,crop
84.2,48.7,22.5,26.2,68.8,6.55,981.5,wheat
70.7,56.4,105.4,28.6,51.8,6.36,564.4,muskmelon
101.3,65.6,75.2,22.8,76.2,6.37,2487.2,rice
107.3,64.0,91.7,21.8,65.7,6.52,2065.0,papaya
111.0,56.6,52.6,24.2,80.4,6.11,2805.9,rice
56.7,60.4,93.9,31.4,67.2,6.28,582.0,watermelon
83.1,45.4,109.6,29.1,61.4,6.71,793.5,muskmelon
98.0,53.1,49.8,28.5,93.7,6.19,2675.8,rice
114.0,57.5,109.2,32.9,58.5,7.54,948.6,cotton
50.0,48.8,54.5,27.7,53.7,6.82,594.0,pomegranate
26.6,45.6,29.1,31.2,50.9,5.82,1223.5,pigeonpeas
103.0,69.6,62.0,31.5,86.3,6.46,2893.2,jute
100.6,48.3,62.6,25.3,60.5,7.12,1762.6,orange
59.4,45.2,60.9,25.0,58.9,6.09,1302.8,pomegranate
89.4,54.8,96.3,25.2,89.2,6.69,2058.0,papaya
61.9,44.0,90.5,27.6,61.8,7.3,1134.7,grapes
125.8,62.9,50.8,24.9,93.8,5.9,2841.4,rice
80.6,56.3,95.5,24.0,69.7,6.37,2245.0,papaya
97.2,71.1,110.5,28.2,80.0,6.85,1795.7,papaya
41.0,38.4,34.0,29.6,72.7,6.61,1194.1,blackgram
20.8,30.0,20.2,30.9,44.8,6.26,391.4,mothbeans
95.8,56.3,27.5,20.5,59.6,7.2,1140.4,wheat
54.3,36.3,93.2,22.2,59.6,7.35,1072.8,grapes
89.5,44.5,95.1,27.6,88.2,6.58,2528.4,coconut
81.6,55.3,54.8,29.8,70.3,5.65,1937.6,orange
26.3,40.5,33.9,30.6,67.9,6.88,1333.0,blackgram
66.3,19.0,60.0,31.5,60.9,6.72,1380.3,mango
63.4,49.3,89.8,29.6,54.3,6.39,758.2,watermelon
141.9,57.8,61.9,24.7,80.9,5.78,3028.5,jute
22.2,42.0,24.3,32.2,42.8,7.14,568.0,mothbeans
106.6,44.6,115.6,30.1,81.6,6.05,2397.4,banana
53.3,50.6,79.2,22.5,62.2,7.01,1636.3,orange
73.0,44.0,72.0,31.8,85.6,6.78,2501.5,coconut
19.1,19.6,25.2,29.3,38.9,7.05,478.6,mothbeans
114.5,63.3,49.8,24.1,89.3,6.01,2379.0,rice
67.7,46.3,67.6,31.3,54.7,6.74,878.4,pomegranate
103.8,57.7,94.7,31.0,77.8,6.85,2212.3,banana
49.8,62.0,99.1,33.8,59.0,6.41,586.5,muskmelon
97.7,53.3,74.0,31.4,55.8,6.82,1189.5,cotton
104.4,53.8,75.5,23.1,71.9,6.95,1037.3,maize
86.7,42.1,91.1,25.1,77.3,6.04,2279.0,banana
91.2,36.8,44.6,28.8,63.1,6.74,1537.6,maize
115.5,65.8,50.8,33.6,80.3,6.03,2486.5,rice
118.0,56.2,93.8,26.7,80.6,6.49,2038.2,papaya
86.5,40.1,45.9,19.5,72.9,6.9,1044.1,maize
35.3,48.2,26.1,19.0,55.6,5.98,1130.0,pigeonpeas
99.8,39.7,53.0,18.3,62.0,7.08,1063.8,maize
122.6,48.7,53.6,30.3,78.7,6.44,2804.5,jute
107.4,54.6,41.9,17.6,56.8,6.99,1144.7,wheat
42.4,71.8,38.1,22.2,62.0,6.46,1069.0,kidneybeans
69.6,27.9,115.4,26.7,88.3,6.47,3263.4,coconut
46.6,57.0,38.6,20.5,53.4,7.0,724.5,chickpea
26.4,35.7,29.4,25.6,63.6,7.12,1315.6,pigeonpeas
61.1,29.9,123.7,27.5,87.1,6.4,2330.1,coconut
59.2,39.1,90.7,19.4,54.4,6.17,661.4,grapes
107.3,43.4,80.5,34.9,76.7,6.74,1915.2,banana
102.5,42.6,55.9,27.5,76.5,5.99,2846.6,rice
79.4,49.8,66.2,23.2,67.1,6.41,1844.7,orange
60.6,39.7,44.3,31.6,63.0,6.98,2066.0,mango
48.8,28.5,66.1,26.2,48.9,7.04,1068.5,pomegranate
59.0,34.8,65.4,38.2,64.1,6.44,1286.0,mango
26.5,24.4,17.0,34.7,43.0,7.06,589.1,mothbeans
38.0,34.9,24.3,23.2,50.8,7.11,677.0,lentil
99.0,37.0,38.9,21.6,78.3,6.52,1174.9,maize
49.0,38.3,52.8,31.3,51.0,6.12,925.5,pomegranate
63.9,63.3,90.1,28.2,62.3,6.86,890.5,watermelon
88.9,51.8,100.7,30.0,94.1,5.93,2408.1,banana
128.2,60.2,78.3,28.0,59.6,6.82,1341.4,cotton
116.7,55.2,63.6,37.6,94.3,6.35,2846.0,jute
46.5,64.1,41.5,19.9,70.4,7.28,1018.2,kidneybeans
127.0,47.6,48.2,31.1,84.6,5.39,2443.9,rice
45.0,63.1,98.8,22.6,59.3,6.47,586.7,muskmelon
76.5,57.5,96.8,26.0,63.3,6.92,688.6,muskmelon
98.9,72.8,70.0,29.5,83.1,6.51,2846.7,jute
102.1,52.6,76.5,28.2,63.9,6.52,532.0,muskmelon
41.4,48.6,41.5,25.5,71.3,7.12,849.2,blackgram
29.0,43.7,49.2,32.7,73.0,6.48,965.4,mungbean
34.5,51.1,30.0,28.0,60.5,6.6,1311.4,pigeonpeas
72.4,34.9,96.0,29.7,91.7,6.04,2427.1,coconut
72.6,24.8,44.6,34.1,57.6,6.69,1496.4,mango
22.1,32.9,40.9,19.2,63.0,6.46,758.5,lentil
16.2,18.2,29.2,31.9,33.2,7.15,674.0,mothbeans
58.9,43.8,88.6,31.8,57.3,6.55,1095.7,grapes
14.8,32.5,33.7,21.4,55.4,6.83,705.3,chickpea
98.9,65.4,58.5,20.8,59.9,6.35,715.3,maize
67.2,49.2,33.6,25.1,47.5,6.29,572.9,wheat
40.7,62.4,53.3,15.8,67.8,5.88,1064.9,kidneybeans
87.7,55.9,112.7,26.9,64.6,6.45,506.8,watermelon
83.1,61.5,85.9,23.2,80.3,5.95,2454.5,coffee
26.2,56.1,33.5,27.9,65.5,7.15,1187.5,pigeonpeas
72.9,58.8,103.4,25.0,78.1,5.59,2701.3,coffee
