N,P,K,temperature,humidity,ph,rainfall,crop
115.9,54.9,54.1,36.4,87.0,6.57,237.1,jute
35.0,63.0,50.0,17.1,63.6,6.74,118.5,kidneybeans
82.3,62.5,95.2,28.1,61.4,6.7,56.5,watermelon
64.8,50.0,84.3,24.9,79.7,5.27,227.1,coffee
40.6,60.2,50.0,21.7,63.9,6.43,97.1,kidneybeans
118.2,47.7,119.6,30.7,83.8,6.01,152.0,banana
33.9,51.4,39.1,20.0,44.3,6.23,59.0,chickpea
109.4,59.7,111.8,31.4,88.4,6.23,144.8,banana
121.3,58.8,98.0,27.9,82.6,6.05,175.5,banana
68.9,36.7,102.2,33.6,53.9,7.07,93.0,grapes
81.4,32.9,64.9,27.3,42.8,6.16,80.7,mango
28.4,47.2,38.7,14.0,45.9,6.14,48.1,lentil
37.0,38.4,41.8,31.7,64.7,7.13,70.2,pigeonpeas
115.8,48.6,71.1,30.9,82.2,6.3,256.4,jute
96.9,36.3,92.4,31.4,87.0,6.02,250.1,coconut
62.7,40.5,86.3,39.0,46.7,6.67,82.6,grapes
30.9,50.9,32.2,21.4,53.5,6.12,46.1,lentil
106.0,44.3,62.5,28.2,58.4,7.01,84.7,cotton
66.8,34.1,110.3,26.0,47.6,7.0,87.5,grapes
95.1,43.7,41.8,15.7,76.4,6.68,87.2,wheat
84.8,44.6,91.8,34.2,47.3,6.86,101.3,grapes
16.6,55.5,34.1,30.8,62.6,6.74,78.0,mungbean
51.2,42.0,60.7,32.8,59.6,6.41,91.8,pomegranate
29.9,54.7,32.5,31.1,65.6,6.61,114.0,pigeonpeas
30.1,60.5,38.3,20.2,47.2,5.89,69.6,chickpea
84.9,54.1,81.1,22.8,62.2,6.21,142.0,orange
98.0,38.4,42.0,23.1,65.6,6.84,107.5,wheat
49.9,25.2,68.0,36.6,49.1,6.18,168.5,mango
98.9,51.5,91.3,23.1,67.1,5.85,219.3,coffee
105.4,49.7,75.9,32.7,52.7,6.75,101.0,cotton
75.5,50.5,30.9,19.9,59.8,7.29,117.3,wheat
28.0,30.4,41.7,30.8,65.4,6.35,71.8,mungbean
61.3,56.2,104.5,23.5,69.1,6.34,58.4,watermelon
16.0,30.0,33.3,31.2,53.7,6.87,103.3,pigeonpeas
45.7,37.8,36.6,19.6,47.5,6.04,80.5,pigeonpeas
123.2,57.5,84.2,27.1,52.4,6.64,75.9,cotton
65.2,43.6,82.9,16.9,65.2,6.3,100.2,apple
99.7,55.4,96.3,25.7,71.8,6.57,186.2,papaya
103.4,55.7,61.4,36.7,81.7,7.19,212.4,jute
95.1,46.3,44.2,19.8,63.1,7.51,98.8,wheat
74.5,40.3,81.9,33.4,60.4,7.14,81.3,grapes
96.6,60.5,91.2,26.8,71.1,6.97,160.1,papaya
85.6,47.5,93.6,30.8,55.4,6.51,123.9,orange
93.9,47.4,117.1,30.2,80.1,6.42,135.0,banana
67.6,39.8,74.4,13.2,64.2,6.72,166.0,apple
29.6,69.5,53.3,21.9,63.9,6.49,96.9,kidneybeans
118.1,57.5,80.3,32.2,49.7,7.13,85.1,cotton
65.5,36.2,99.9,25.2,80.4,6.38,203.2,coconut
31.8,40.0,33.8,32.2,69.3,6.78,73.1,mungbean
119.9,59.8,119.9,30.6,79.8,6.5,163.3,banana
41.0,43.9,92.7,25.0,60.5,6.41,66.0,grapes
50.7,42.7,57.2,28.7,71.8,6.68,114.3,mango
