N,P,K,temperature,humidity,ph,rainfall,soil_type
60.1,11.3,86.4,33.2,79.1,5.63,2878.1,Laterite
61.0,28.6,80.2,26.3,83.3,6.14,3296.3,Red Loam
49.6,47.7,58.7,34.6,76.0,7.65,1616.0,Coastal Alluvial
97.7,62.6,72.9,27.9,81.1,6.8,3099.6,Riverine Alluvial
90.1,35.5,74.5,25.9,77.6,6.47,1365.0,Loamy
58.8,17.4,64.8,25.8,76.7,6.36,2375.1,Red Loam
57.0,21.9,79.9,31.7,74.3,5.67,2350.4,Red Loam
72.9,28.6,59.0,31.2,58.0,7.7,1531.1,Black Cotton
46.4,46.2,56.5,34.4,87.4,7.4,1693.9,Coastal Alluvial
83.8,18.0,38.0,28.9,88.1,4.62,2421.3,Brown Hydromorphic
77.5,48.0,108.3,32.0,71.0,7.22,2002.5,Clayey
47.0,24.6,43.2,29.1,72.9,5.53,3178.3,Laterite
58.0,9.7,44.4,29.9,83.2,5.33,2279.5,Laterite
81.8,36.4,35.8,31.6,78.8,4.99,2672.4,Brown Hydromorphic
65.1,28.0,78.8,29.2,78.7,6.49,2627.5,Red Loam
115.6,48.8,110.6,19.6,83.1,5.04,3386.2,Forest Loam
73.1,24.5,66.6,25.0,63.5,6.12,2573.4,Red Loam
54.3,21.4,60.0,28.6,87.3,4.21,2551.3,Brown Hydromorphic
117.6,31.6,56.8,29.9,90.6,3.76,3570.7,Peaty
105.4,61.1,78.3,31.3,76.3,7.16,2795.7,Riverine Alluvial
64.5,40.1,85.6,35.8,70.1,5.85,2412.5,Red Loam
113.3,27.3,39.4,29.4,86.5,4.44,2966.2,Peaty
127.5,40.3,76.8,15.6,89.4,6.28,3678.2,Forest Loam
74.3,20.4,77.5,29.8,82.8,6.13,2428.3,Red Loam
85.6,62.9,142.3,19.8,79.4,5.94,3554.1,Forest Loam
79.1,52.2,85.7,29.4,85.9,6.64,3388.7,Riverine Alluvial
44.0,32.1,92.0,28.1,75.4,7.12,3066.9,Red Loam
55.6,34.3,62.8,28.4,86.6,4.33,3008.9,Brown Hydromorphic
72.6,34.1,46.0,35.0,85.0,4.5,2776.5,Brown Hydromorphic
48.3,9.2,70.1,32.4,74.6,5.28,3195.2,Laterite
63.6,41.8,68.3,25.3,64.4,8.18,1469.3,Black Cotton
28.1,30.7,66.5,30.7,93.0,8.14,2178.7,Coastal Alluvial
62.4,20.9,73.1,28.3,86.7,5.89,3423.0,Laterite
89.6,71.2,100.4,28.5,72.8,7.17,2600.9,Riverine Alluvial
57.7,28.4,91.3,27.1,66.6,6.61,2193.8,Red Loam
50.8,32.5,89.5,27.4,75.7,6.22,2782.3,Red Loam
61.0,14.0,88.3,29.0,83.6,5.94,2633.1,Red Loam
112.3,51.8,74.2,27.9,80.2,6.52,2956.1,Riverine Alluvial
53.5,13.4,88.1,33.1,85.3,5.97,2918.5,Laterite
40.4,27.6,60.4,28.5,84.9,8.29,1861.1,Coastal Alluvial
53.9,55.0,39.4,33.8,88.6,7.16,2368.9,Coastal Alluvial
93.1,33.8,56.1,28.6,85.1,4.52,2934.8,Brown Hydromorphic
114.2,35.2,67.2,18.8,89.6,5.97,3110.6,Forest Loam
63.9,32.1,58.2,29.0,81.6,6.94,1896.1,Coastal Alluvial
58.2,15.9,85.4,28.9,82.4,5.89,3405.7,Laterite
120.4,50.1,109.7,20.7,79.9,5.04,3991.2,Forest Loam
71.1,37.4,34.7,27.5,97.0,4.74,3016.3,Brown Hydromorphic
84.4,36.1,78.7,34.0,69.7,7.26,1434.3,Black Cotton
93.6,28.7,78.0,28.4,70.5,6.58,2393.1,Red Loam
44.7,8.6,56.4,31.1,74.9,5.36,2612.8,Laterite
75.5,14.1,69.7,29.6,81.4,4.9,3073.3,Laterite
53.3,12.5,75.1,28.1,74.1,4.67,3127.0,Laterite
76.6,12.6,52.0,25.3,69.6,5.68,3465.9,Laterite
48.8,27.5,60.4,33.7,81.8,4.93,2932.0,Laterite
138.5,27.3,40.1,31.8,91.7,4.29,3036.5,Peaty
41.3,36.7,55.9,33.6,83.3,8.11,2021.4,Coastal Alluvial
99.9,49.9,82.1,29.9,75.3,6.67,2533.9,Clayey
51.6,12.4,43.7,29.1,86.1,5.17,2970.5,Laterite
96.0,27.7,80.9,25.0,76.3,6.47,1877.0,Red Loam
71.7,58.8,59.9,25.5,72.0,7.35,2006.8,Clayey
40.9,33.0,54.2,31.4,84.4,8.29,2179.0,Coastal Alluvial
58.3,32.8,30.1,27.0,79.1,4.25,3164.5,Brown Hydromorphic
47.9,9.9,54.6,28.4,83.1,5.24,2252.8,Laterite
97.0,62.1,89.3,26.6,81.7,6.68,3118.7,Riverine Alluvial
73.6,32.1,56.8,27.9,85.3,4.87,3083.0,Brown Hydromorphic
66.9,24.1,75.8,26.6,87.9,6.47,2193.3,Red Loam
74.0,62.4,50.3,26.8,81.5,6.98,2628.1,Riverine Alluvial
54.0,18.3,110.0,27.1,75.1,5.37,3835.9,Laterite
110.5,42.2,89.8,23.9,79.1,5.84,3806.8,Forest Loam
71.9,30.4,81.2,35.0,74.7,6.23,2773.0,Red Loam
46.3,37.0,68.5,32.7,89.9,8.42,1578.2,Coastal Alluvial
67.9,59.1,73.2,27.1,73.0,6.75,1450.6,Loamy
37.4,12.7,101.8,29.4,83.5,5.14,2449.0,Laterite
42.5,18.1,53.6,36.0,83.5,7.0,2138.3,Coastal Alluvial
66.1,37.2,69.5,34.0,80.2,6.21,2859.1,Red Loam
91.8,26.5,78.1,28.5,76.0,7.14,2266.8,Red Loam
39.3,14.7,77.8,27.4,83.0,4.75,2804.1,Laterite
58.9,10.7,77.8,25.8,87.4,4.67,3475.2,Laterite
121.4,58.5,118.6,19.7,76.0,5.41,3643.5,Forest Loam
84.6,39.9,56.1,32.7,62.8,7.43,1660.1,Black Cotton
66.7,31.9,55.7,35.5,76.0,6.05,2369.7,Red Loam
99.0,29.5,70.4,26.4,77.0,5.95,2155.2,Red Loam
37.1,44.3,51.0,32.8,87.6,7.56,2167.1,Coastal Alluvial
67.3,19.1,58.3,27.1,76.1,5.39,3426.8,Laterite
78.6,24.3,55.0,32.9,85.8,4.66,3908.2,Brown Hydromorphic
71.4,38.7,31.9,30.6,94.1,4.84,2937.3,Brown Hydromorphic
65.5,55.0,76.8,31.1,76.8,7.08,2981.5,Riverine Alluvial
156.2,23.8,53.8,32.0,93.0,4.65,3005.2,Peaty
68.1,27.6,68.0,29.1,73.8,6.29,2767.4,Red Loam
79.1,60.3,91.5,30.9,72.2,6.55,3101.1,Riverine Alluvial
65.4,33.1,60.2,34.1,61.6,8.31,1663.0,Black Cotton
76.2,34.5,84.5,32.2,86.3,6.71,2804.7,Red Loam
133.2,24.9,53.2,34.7,94.1,4.68,3108.8,Peaty
49.5,8.7,85.8,31.9,72.0,4.5,3336.1,Laterite
115.1,40.7,98.9,16.6,90.2,5.38,3772.9,Forest Loam
69.0,14.3,87.1,27.4,68.8,6.88,2063.1,Red Loam
144.3,43.4,121.1,16.1,81.8,5.05,3380.3,Forest Loam
80.2,43.1,66.5,26.5,64.8,7.26,1268.1,Loamy
83.8,66.3,106.5,33.6,82.2,6.97,3069.5,Riverine Alluvial
52.9,19.9,79.5,33.0,82.9,5.62,2504.9,Laterite
75.2,29.0,99.1,25.4,69.7,5.62,2147.2,Red Loam
56.2,29.3,56.8,30.4,86.2,4.59,2980.3,Brown Hydromorphic
67.4,14.1,54.0,27.0,77.2,5.75,2816.7,Laterite
95.5,43.0,58.3,20.6,89.7,5.54,4051.5,Forest Loam
30.4,36.8,49.6,28.9,80.7,7.43,2318.3,Coastal Alluvial
64.8,22.3,82.5,25.1,90.3,4.57,2451.8,Brown Hydromorphic
39.7,16.8,47.3,31.7,49.9,6.92,1426.5,Sandy
107.5,64.3,111.2,32.1,79.6,6.52,2947.1,Riverine Alluvial
127.1,34.3,38.8,27.3,91.8,4.92,2922.0,Peaty
75.2,67.1,93.0,29.0,88.6,7.04,2705.0,Riverine Alluvial
67.7,46.3,65.3,33.6,68.8,8.17,1279.7,Black Cotton
110.7,53.8,95.5,23.9,89.1,5.71,4107.0,Forest Loam
118.6,49.5,70.9,22.0,84.3,5.57,4608.3,Forest Loam
74.4,50.0,89.4,35.7,74.3,7.96,2720.0,Clayey
53.3,15.2,69.6,28.4,78.6,5.98,3060.8,Laterite
68.8,16.8,65.0,24.2,80.4,5.11,3754.5,Laterite
27.4,51.6,61.8,32.4,85.5,7.57,2285.8,Coastal Alluvial
60.5,25.3,78.2,28.3,83.6,6.03,3313.7,Red Loam
69.8,30.2,45.1,27.5,87.0,4.64,2741.7,Brown Hydromorphic
77.5,33.4,55.7,31.8,58.1,7.25,931.7,Black Cotton
76.8,36.7,77.8,30.2,75.6,5.57,2848.6,Red Loam
162.6,24.7,59.2,28.5,90.8,3.71,2633.1,Peaty
80.9,56.4,78.0,28.3,73.9,7.49,2817.1,Riverine Alluvial
56.9,16.6,54.0,27.7,80.9,5.8,2605.3,Laterite
54.0,50.3,114.6,30.2,83.5,6.75,2584.4,Riverine Alluvial
56.1,36.9,44.6,30.5,82.3,7.92,1599.7,Coastal Alluvial
29.5,39.2,48.7,34.1,80.7,7.05,1869.2,Coastal Alluvial
69.5,50.4,73.7,28.4,68.2,6.49,1923.2,Loamy
68.2,30.3,69.0,30.2,86.2,5.03,2530.7,Brown Hydromorphic
78.7,46.3,99.2,29.9,68.3,6.83,2874.1,Riverine Alluvial
36.1,37.2,77.2,28.7,80.0,7.16,1814.1,Coastal Alluvial
64.3,42.9,86.1,25.1,81.6,7.03,1651.3,Loamy
97.4,46.7,92.4,18.2,81.2,5.76,3745.8,Forest Loam
29.4,16.4,51.5,31.5,77.7,5.64,3673.3,Laterite
106.8,52.1,81.9,23.3,84.5,7.22,2216.8,Riverine Alluvial
